category,total_endpoints,num_files
Sports,4455,361
Finance,3834,559
Data,3583,831
Business_Software,3550,350
Social,2392,348
Business,2148,695
eCommerce,2037,441
Tools,1916,704
Other,1806,363
Entertainment,1421,411
Gaming,1253,248
Communication,1173,252
Email,1140,161
Financial,1136,215
Text_Analysis,1129,466
Music,1030,152
Artificial_Intelligence_Machine_Learning,990,390
Video_Images,986,280
Education,925,294
Media,916,194
Database,900,277
Commerce,811,214
Storage,754,33
Travel,724,154
Location,724,281
News_Media,676,133
Visual_Recognition,649,270
Advertising,641,158
Transportation,573,84
Food,561,138
Events,461,35
Health_and_Fitness,449,93
Weather,405,106
Search,402,162
Payments,368,48
Mapping,344,100
SMS,315,86
Translation,305,114
Monitoring,301,66
Devices,287,38
Logistics,279,63
Science,272,64
Medical,241,60
Movies,227,63
Energy,198,32
Cybersecurity,90,28
Cryptography,84,20
Jobs,47,15
Reward,28,6
Customized,1,1
